Date,Time of day,day_price[€/MWh],yes_price[€/MWh],fore_gen[MWh],hour,month,day,norm_dp[€/MWh],norm_yp[€/MWh],norm_fg[MWh],norm_hh,norm_mm,norm_dd
"Jan 1, 2019",12:00 AM,28.32,50.94,0.0,0,1,1,0.5595592755473591,0.6665248025724689,0.0,0.0,0.0,0.0
"Jan 1, 2019",1:00 AM,10.07,49.57,0.0,1,1,1,0.47325861824372256,0.6600463422707713,0.0,0.043478260869565216,0.0,0.0
"Jan 1, 2019",2:00 AM,-4.08,48.32,0.0,2,1,1,0.4063460538137798,0.6541353383458647,0.0,0.08695652173913043,0.0,0.0
"Jan 1, 2019",3:00 AM,-9.91,45.89,0.0,3,1,1,0.3787771315080154,0.6426443467158462,0.0,0.13043478260869565,0.0,0.0
"Jan 1, 2019",4:00 AM,-7.41,45.47,0.0,4,1,1,0.3905991393578286,0.6406582493970776,0.0,0.17391304347826086,0.0,0.0
"Jan 1, 2019",5:00 AM,-12.55,47.11,0.0,5,1,1,0.36629309121861264,0.6484134865465552,0.0,0.21739130434782608,0.0,0.0
"Jan 1, 2019",6:00 AM,-17.25,49.12,0.0,6,1,1,0.3440677164609638,0.657918380857805,0.0,0.2608695652173913,0.0,0.0
"Jan 1, 2019",7:00 AM,-15.07,53.79,0.0,7,1,1,0.3543765073060009,0.680001891521256,0.0,0.30434782608695654,0.0,0.0
"Jan 1, 2019",8:00 AM,-4.93,57.47,0.0,8,1,1,0.40232657114484327,0.6974038870761811,0.0,0.34782608695652173,0.0,0.0
"Jan 1, 2019",9:00 AM,-6.33,61.52,0.02,9,1,1,0.3957062467489479,0.7165555397928784,0.024691358024691357,0.3913043478260869,0.0,0.0
"Jan 1, 2019",10:00 AM,-4.93,62.64,0.05,10,1,1,0.40232657114484327,0.7218517993095948,0.06172839506172839,0.43478260869565216,0.0,0.0
"Jan 1, 2019",11:00 AM,0.45,64.56,0.06,11,1,1,0.42776753203764134,0.7309311013382513,0.07407407407407407,0.4782608695652174,0.0,0.0
"Jan 1, 2019",12:00 PM,0.12,65.01,0.06,12,1,1,0.42620702700146595,0.7330590627512177,0.07407407407407407,0.5217391304347826,0.0,0.0
"Jan 1, 2019",1:00 PM,-0.02,63.91,0.07,13,1,1,0.42554499456187644,0.7278573792972999,0.08641975308641976,0.5652173913043478,0.0,0.0
"Jan 1, 2019",2:00 PM,0.0,59.68,0.04,14,1,1,0.42563957062467495,0.707854542015416,0.04938271604938271,0.6086956521739131,0.0,0.0
"Jan 1, 2019",3:00 PM,-0.03,56.6,0.0,15,1,1,0.4254977065304772,0.6932898283444461,0.0,0.6521739130434783,0.0,0.0
"Jan 1, 2019",4:00 PM,1.97,63.28,0.0,16,1,1,0.43495531281032773,0.724878233319147,0.0,0.6956521739130435,0.0,0.0
"Jan 1, 2019",5:00 PM,9.06,68.01,0.0,17,1,1,0.468482527072398,0.7472454721709936,0.0,0.7391304347826086,0.0,0.0
"Jan 1, 2019",6:00 PM,0.07,66.98,0.0,18,1,1,0.4259705868444697,0.7423748049368706,0.0,0.7826086956521738,0.0,0.0
"Jan 1, 2019",7:00 PM,-4.97,58.28,0.0,19,1,1,0.40213741901924627,0.7012342176195205,0.0,0.8260869565217391,0.0,0.0
"Jan 1, 2019",8:00 PM,-6.98,50.01,0.0,20,1,1,0.3926325247079965,0.6621270156523384,0.0,0.8695652173913043,0.0,0.0
"Jan 1, 2019",9:00 PM,-24.93,45.06,0.0,21,1,1,0.3077505083463376,0.6387194401097083,0.0,0.9130434782608695,0.0,0.0
"Jan 1, 2019",10:00 PM,-4.87,48.93,0.0,22,1,1,0.40261029933323883,0.6570199082612191,0.0,0.9565217391304348,0.0,0.0
"Jan 1, 2019",11:00 PM,-28.93,30.31,0.0,23,1,1,0.28883529578663647,0.5689695937958104,0.0,1.0,0.0,0.0
"Jan 2, 2019",12:00 AM,-33.57,28.32,0.0,0,1,2,0.2668936492173831,0.5595592755473591,0.0,0.0,0.0,0.03333333333333333
"Jan 2, 2019",1:00 AM,-45.92,10.07,0.0,1,1,2,0.20849293043930583,0.47325861824372256,0.0,0.043478260869565216,0.0,0.03333333333333333
"Jan 2, 2019",2:00 AM,-48.29,-4.08,0.0,2,1,2,0.19728566699768293,0.4063460538137798,0.0,0.08695652173913043,0.0,0.03333333333333333
"Jan 2, 2019",3:00 AM,-44.99,-9.91,0.0,3,1,2,0.21289071735943635,0.3787771315080154,0.0,0.13043478260869565,0.0,0.03333333333333333
"Jan 2, 2019",4:00 AM,-48.93,-7.41,0.0,4,1,2,0.19425923298813075,0.3905991393578286,0.0,0.17391304347826086,0.0,0.03333333333333333
"Jan 2, 2019",5:00 AM,-29.91,-12.55,0.0,5,1,2,0.2842010687095097,0.36629309121861264,0.0,0.21739130434782608,0.0,0.03333333333333333
"Jan 2, 2019",6:00 AM,-0.01,-17.25,0.0,6,1,2,0.4255922825932757,0.3440677164609638,0.0,0.2608695652173913,0.0,0.03333333333333333
"Jan 2, 2019",7:00 AM,37.43,-15.07,0.0,7,1,2,0.6026386721520783,0.3543765073060009,0.0,0.30434782608695654,0.0,0.03333333333333333
"Jan 2, 2019",8:00 AM,48.06,-4.93,0.0,8,1,2,0.6529058495294842,0.40232657114484327,0.0,0.34782608695652173,0.0,0.03333333333333333
"Jan 2, 2019",9:00 AM,50.74,-6.33,0.06,9,1,2,0.6655790419444839,0.3957062467489479,0.07407407407407407,0.3913043478260869,0.0,0.03333333333333333
"Jan 2, 2019",10:00 AM,47.57,-4.93,0.12,10,1,2,0.6505887359909208,0.40232657114484327,0.14814814814814814,0.43478260869565216,0.0,0.03333333333333333
"Jan 2, 2019",11:00 AM,43.94,0.45,0.25,11,1,2,0.633423180592992,0.42776753203764134,0.30864197530864196,0.4782608695652174,0.0,0.03333333333333333
"Jan 2, 2019",12:00 PM,40.97,0.12,0.23,12,1,2,0.6193786352674139,0.42620702700146595,0.2839506172839506,0.5217391304347826,0.0,0.03333333333333333
"Jan 2, 2019",1:00 PM,44.95,-0.02,0.12,13,1,2,0.6381992717643166,0.42554499456187644,0.14814814814814814,0.5652173913043478,0.0,0.03333333333333333
"Jan 2, 2019",2:00 PM,49.64,0.0,0.09,14,1,2,0.6603773584905661,0.42563957062467495,0.1111111111111111,0.6086956521739131,0.0,0.03333333333333333
"Jan 2, 2019",3:00 PM,53.67,-0.03,0.04,15,1,2,0.679434435144465,0.4254977065304772,0.04938271604938271,0.6521739130434783,0.0,0.03333333333333333
"Jan 2, 2019",4:00 PM,56.01,1.97,0.0,16,1,2,0.6904998344918902,0.43495531281032773,0.0,0.6956521739130435,0.0,0.03333333333333333
"Jan 2, 2019",5:00 PM,56.95,9.06,0.0,17,1,2,0.6949449094434199,0.468482527072398,0.0,0.7391304347826086,0.0,0.03333333333333333
"Jan 2, 2019",6:00 PM,62.08,0.07,0.0,18,1,2,0.7192036695512367,0.4259705868444697,0.0,0.7826086956521738,0.0,0.03333333333333333
