Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,map_ap,map_fp
"1-Jan, 2018",12:00 AM,-5.27,0,-6.79911142,0,1,1,1,1,0.47,0.47
"1-Jan, 2018",1:00 AM,-29.99,0,-29.95545924,1,1,1,1,1,0.35,0.35
"1-Jan, 2018",2:00 AM,-56.65,0,-67.82108379,2,1,1,1,1,0.22,0.16
"1-Jan, 2018",3:00 AM,-63.14,0,-64.82742805,3,1,1,1,1,0.18,0.18
"1-Jan, 2018",4:00 AM,-64.62,0,-62.22056165,4,1,1,1,1,0.18,0.19
"1-Jan, 2018",5:00 AM,-67,0,-77.34003731,5,1,1,1,1,0.17,0.11
"1-Jan, 2018",6:00 AM,-72.54,0,-64.22498283,6,1,1,1,1,0.14,0.18
"1-Jan, 2018",7:00 AM,-76.01,0,-90.22219259,7,1,1,1,1,0.12,0.05
"1-Jan, 2018",8:00 AM,-71.45,0,-66.17371158,8,1,1,1,1,0.14,0.17
"1-Jan, 2018",9:00 AM,-66.88,0.04,-64.02530441,9,1,1,1,1,0.17,0.18
"1-Jan, 2018",10:00 AM,-62,0.1,-69.38835554,10,1,1,1,1,0.19,0.15
"1-Jan, 2018",11:00 AM,-56.08,0.14,-61.85881613,11,1,1,1,1,0.22,0.19
"1-Jan, 2018",12:00 PM,-49.96,0.18,-58.29927506,12,1,1,1,1,0.25,0.21
"1-Jan, 2018",1:00 PM,-24.29,0.27,-27.09458326,13,1,1,1,1,0.38,0.36
"1-Jan, 2018",2:00 PM,-5.59,0.24,4.365633042,14,1,1,1,1,0.47,0.52
"1-Jan, 2018",3:00 PM,0.23,0.09,-6.833592552,15,1,1,1,1,0.5,0.47
"1-Jan, 2018",4:00 PM,11.02,0,12.13023041,16,1,1,1,1,0.56,0.56
"1-Jan, 2018",5:00 PM,23.5,0,24.4322173,17,1,1,1,1,0.62,0.62
"1-Jan, 2018",6:00 PM,22.91,0,30.48705894,18,1,1,1,1,0.61,0.65
"1-Jan, 2018",7:00 PM,21.02,0,18.48682024,19,1,1,1,1,0.61,0.59
"1-Jan, 2018",8:00 PM,21.05,0,24.64550258,20,1,1,1,1,0.61,0.62
"1-Jan, 2018",9:00 PM,21.95,0,10.72636011,21,1,1,1,1,0.61,0.55
"1-Jan, 2018",10:00 PM,23.52,0,24.12883523,22,1,1,1,1,0.62,0.62
"1-Jan, 2018",11:00 PM,18.96,0,20.88342975,23,1,1,1,1,0.59,0.6
"2-Jan, 2018",12:00 AM,18.12,0,26.62989165,0,1,2,2,1,0.59,0.63
"2-Jan, 2018",1:00 AM,14.99,0,21.44513288,1,1,2,2,1,0.57,0.61
"2-Jan, 2018",2:00 AM,13.63,0,14.74220218,2,1,2,2,1,0.57,0.57
"2-Jan, 2018",3:00 AM,12.15,0,20.43832971,3,1,2,2,1,0.56,0.6
"2-Jan, 2018",4:00 AM,11.83,0,12.96289953,4,1,2,2,1,0.56,0.56
"2-Jan, 2018",5:00 AM,14.55,0,19.53717784,5,1,2,2,1,0.57,0.6
"2-Jan, 2018",6:00 AM,22.58,0,27.42999642,6,1,2,2,1,0.61,0.64
"2-Jan, 2018",7:00 AM,41.92,0,49.48648775,7,1,2,2,1,0.71,0.75
"2-Jan, 2018",8:00 AM,47.95,0,40.74488687,8,1,2,2,1,0.74,0.7
"2-Jan, 2018",9:00 AM,49.9,0.03,45.29589666,9,1,2,2,1,0.75,0.73
"2-Jan, 2018",10:00 AM,50,0.05,46.33940859,10,1,2,2,1,0.75,0.73
"2-Jan, 2018",11:00 AM,49.7,0.06,50.19862741,11,1,2,2,1,0.75,0.75
"2-Jan, 2018",12:00 PM,48.16,0.07,43.80675724,12,1,2,2,1,0.74,0.72
"2-Jan, 2018",1:00 PM,47.24,0.07,42.38184026,13,1,2,2,1,0.74,0.71
