,Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,map_ap,map_fp
0,"1-Jan, 2018",12:00 AM,-5.27,0.45,-6.8,0,1,1,1,1,0.47,0.47
1,"1-Jan, 2018",1:00 AM,-29.99,0.47,-29.96,1,1,1,1,1,0.35,0.35
2,"1-Jan, 2018",2:00 AM,-56.65,0.43,-67.82,2,1,1,1,1,0.22,0.16
3,"1-Jan, 2018",3:00 AM,-63.14,0.43,-64.83,3,1,1,1,1,0.18,0.18
4,"1-Jan, 2018",4:00 AM,-64.62,0.59,-62.22,4,1,1,1,1,0.18,0.19
5,"1-Jan, 2018",5:00 AM,-67.0,0.52,-77.34,5,1,1,1,1,0.16,0.11
6,"1-Jan, 2018",6:00 AM,-72.54,0.49,-64.22,6,1,1,1,1,0.14,0.18
7,"1-Jan, 2018",7:00 AM,-76.01,0.46,-90.22,7,1,1,1,1,0.12,0.05
8,"1-Jan, 2018",8:00 AM,-71.45,0.45,-66.17,8,1,1,1,1,0.14,0.17
9,"1-Jan, 2018",9:00 AM,-66.88,0.4,-64.03,9,1,1,1,1,0.17,0.18
10,"1-Jan, 2018",10:00 AM,-62.0,0.38,-69.39,10,1,1,1,1,0.19,0.15
11,"1-Jan, 2018",11:00 AM,-56.08,0.43,-61.86,11,1,1,1,1,0.22,0.19
12,"1-Jan, 2018",12:00 PM,-49.96,0.47,-58.3,12,1,1,1,1,0.25,0.21
13,"1-Jan, 2018",1:00 PM,-24.29,0.44,-27.09,13,1,1,1,1,0.38,0.36
14,"1-Jan, 2018",2:00 PM,-5.59,0.36,4.37,14,1,1,1,1,0.47,0.52
15,"1-Jan, 2018",3:00 PM,0.23,0.29,-6.83,15,1,1,1,1,0.5,0.47
16,"1-Jan, 2018",4:00 PM,11.02,0.28,12.13,16,1,1,1,1,0.56,0.56
17,"1-Jan, 2018",5:00 PM,23.5,0.29,24.43,17,1,1,1,1,0.62,0.62
18,"1-Jan, 2018",6:00 PM,22.91,0.3,30.49,18,1,1,1,1,0.61,0.65
19,"1-Jan, 2018",7:00 PM,21.02,0.38,18.49,19,1,1,1,1,0.61,0.59
20,"1-Jan, 2018",8:00 PM,21.05,0.41,24.65,20,1,1,1,1,0.61,0.62
21,"1-Jan, 2018",9:00 PM,21.95,0.39,10.73,21,1,1,1,1,0.61,0.55
22,"1-Jan, 2018",10:00 PM,23.52,0.38,24.13,22,1,1,1,1,0.62,0.62
23,"1-Jan, 2018",11:00 PM,18.96,0.4,20.88,23,1,1,1,1,0.59,0.6
24,"2-Jan, 2018",12:00 AM,18.12,0.45,26.63,0,1,2,2,1,0.59,0.63
25,"2-Jan, 2018",1:00 AM,14.99,0.6,21.45,1,1,2,2,1,0.57,0.61
26,"2-Jan, 2018",2:00 AM,13.63,0.76,14.74,2,1,2,2,1,0.57,0.57
27,"2-Jan, 2018",3:00 AM,12.15,0.84,20.44,3,1,2,2,1,0.56,0.6
28,"2-Jan, 2018",4:00 AM,11.83,0.83,12.96,4,1,2,2,1,0.56,0.56
29,"2-Jan, 2018",5:00 AM,14.55,0.79,19.54,5,1,2,2,1,0.57,0.6
30,"2-Jan, 2018",6:00 AM,22.58,0.71,27.43,6,1,2,2,1,0.61,0.64
31,"2-Jan, 2018",7:00 AM,41.92,0.62,49.49,7,1,2,2,1,0.71,0.75
32,"2-Jan, 2018",8:00 AM,47.95,0.55,40.74,8,1,2,2,1,0.74,0.7
33,"2-Jan, 2018",9:00 AM,49.9,0.53,45.3,9,1,2,2,1,0.75,0.73
34,"2-Jan, 2018",10:00 AM,50.0,0.48,46.34,10,1,2,2,1,0.75,0.73
35,"2-Jan, 2018",11:00 AM,49.7,0.49,50.2,11,1,2,2,1,0.75,0.75
36,"2-Jan, 2018",12:00 PM,48.16,0.56,43.81,12,1,2,2,1,0.74,0.72
