Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week
"1-Jan, 2019",12:00 AM,28.32,0.23,26.77308981,0,1,1,2,1
"1-Jan, 2019",1:00 AM,10.07,0.23,5.203223152,1,1,1,2,1
"1-Jan, 2019",2:00 AM,-4.08,0.23,4.974223763,2,1,1,2,1
"1-Jan, 2019",3:00 AM,-9.91,0.22,-1.480704292,3,1,1,2,1
"1-Jan, 2019",4:00 AM,-7.41,0.23,-5.538412482,4,1,1,2,1
"1-Jan, 2019",5:00 AM,-12.55,0.25,-9.719619655,5,1,1,2,1
"1-Jan, 2019",6:00 AM,-17.25,0.29,-17.41241423,6,1,1,2,1
"1-Jan, 2019",7:00 AM,-15.07,0.31,-12.90086722,7,1,1,2,1
"1-Jan, 2019",8:00 AM,-4.93,0.33,2.095065865,8,1,1,2,1
"1-Jan, 2019",9:00 AM,-6.33,0.38,-10.66312344,9,1,1,2,1
"1-Jan, 2019",10:00 AM,-4.93,0.43,-3.872141059,10,1,1,2,1
"1-Jan, 2019",11:00 AM,0.45,0.48,-2.001321069,11,1,1,2,1
"1-Jan, 2019",12:00 PM,0.12,0.55,-5.535617943,12,1,1,2,1
"1-Jan, 2019",1:00 PM,-0.02,0.58,8.317784588,13,1,1,2,1
"1-Jan, 2019",2:00 PM,0,0.6,-8.984386762,14,1,1,2,1
"1-Jan, 2019",3:00 PM,-0.03,0.64,2.831866762,15,1,1,2,1
"1-Jan, 2019",4:00 PM,1.97,0.66,-2.939572173,16,1,1,2,1
"1-Jan, 2019",5:00 PM,9.06,0.67,12.45877515,17,1,1,2,1
"1-Jan, 2019",6:00 PM,0.07,0.7,-0.183036288,18,1,1,2,1
"1-Jan, 2019",7:00 PM,-4.97,0.72,-2.125684291,19,1,1,2,1
"1-Jan, 2019",8:00 PM,-6.98,0.74,-7.012685226,20,1,1,2,1
"1-Jan, 2019",9:00 PM,-24.93,0.77,-33.59460356,21,1,1,2,1
"1-Jan, 2019",10:00 PM,-4.87,0.78,0.725124734,22,1,1,2,1
"1-Jan, 2019",11:00 PM,-28.93,0.77,-29.72525179,23,1,1,2,1
"2-Jan, 2019",12:00 AM,-33.57,0.77,-26.13191138,0,1,2,3,1
"2-Jan, 2019",1:00 AM,-45.92,0.74,-47.6775078,1,1,2,3,1
"2-Jan, 2019",2:00 AM,-48.29,0.73,-40.53123164,2,1,2,3,1
"2-Jan, 2019",3:00 AM,-44.99,0.73,-40.05533581,3,1,2,3,1
"2-Jan, 2019",4:00 AM,-48.93,0.74,-60.12791591,4,1,2,3,1
"2-Jan, 2019",5:00 AM,-29.91,0.74,-32.27840444,5,1,2,3,1
"2-Jan, 2019",6:00 AM,-0.01,0.73,-5.444315297,6,1,2,3,1
"2-Jan, 2019",7:00 AM,37.43,0.73,38.22956671,7,1,2,3,1
"2-Jan, 2019",8:00 AM,48.06,0.72,51.55343945,8,1,2,3,1
"2-Jan, 2019",9:00 AM,50.74,0.7,48.68955955,9,1,2,3,1
"2-Jan, 2019",10:00 AM,47.57,0.72,44.89431952,10,1,2,3,1
"2-Jan, 2019",11:00 AM,43.94,0.76,46.56464122,11,1,2,3,1
"2-Jan, 2019",12:00 PM,40.97,0.75,38.6856397,12,1,2,3,1
"2-Jan, 2019",1:00 PM,44.95,0.7,43.54319892,13,1,2,3,1
