Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,map_ap
"1-Jan, 2017",12:00 AM,20.96,0.0,21.54,0,1,1,0,1,0.6048
"1-Jan, 2017",1:00 AM,20.9,0.0,14.8,1,1,1,0,1,0.6045
"1-Jan, 2017",2:00 AM,18.13,0.0,22.66,2,1,1,0,1,0.59065
"1-Jan, 2017",3:00 AM,16.03,0.0,22.27,3,1,1,0,1,0.5801499999999999
"1-Jan, 2017",4:00 AM,16.43,0.0,19.19,4,1,1,0,1,0.58215
"1-Jan, 2017",5:00 AM,13.75,0.0,1.64,5,1,1,0,1,0.56875
"1-Jan, 2017",6:00 AM,11.1,0.0,18.46,6,1,1,0,1,0.5555
"1-Jan, 2017",7:00 AM,15.47,0.0,9.85,7,1,1,0,1,0.57735
"1-Jan, 2017",8:00 AM,16.88,0.02,24.3,8,1,1,0,1,0.5844
"1-Jan, 2017",9:00 AM,21.81,0.11,26.86,9,1,1,0,1,0.60905
"1-Jan, 2017",10:00 AM,26.24,0.33,34.09,10,1,1,0,1,0.6312
"1-Jan, 2017",11:00 AM,26.42,0.49,28.65,11,1,1,0,1,0.6321
"1-Jan, 2017",12:00 PM,27.66,0.61,27.42,12,1,1,0,1,0.6383
"1-Jan, 2017",1:00 PM,28.7,0.55,22.77,13,1,1,0,1,0.6435
"1-Jan, 2017",2:00 PM,29.66,0.42,30.89,14,1,1,0,1,0.6483
"1-Jan, 2017",3:00 PM,35.33,0.19,28.98,15,1,1,0,1,0.67665
"1-Jan, 2017",4:00 PM,44.12,0.0,44.76,16,1,1,0,1,0.7206
"1-Jan, 2017",5:00 PM,51.59,0.0,45.47,17,1,1,0,1,0.75795
"1-Jan, 2017",6:00 PM,53.95,0.0,53.5,18,1,1,0,1,0.7697499999999999
"1-Jan, 2017",7:00 PM,50.97,0.0,51.06,19,1,1,0,1,0.75485
"1-Jan, 2017",8:00 PM,44.93,0.0,51.25,20,1,1,0,1,0.72465
"1-Jan, 2017",9:00 PM,38.83,0.0,28.31,21,1,1,0,1,0.69415
"1-Jan, 2017",10:00 PM,42.17,0.0,41.65,22,1,1,0,1,0.71085
"1-Jan, 2017",11:00 PM,33.06,0.0,38.39,23,1,1,0,1,0.6653
"2-Jan, 2017",12:00 AM,30.54,0.0,31.35,0,1,2,1,1,0.6527000000000001
"2-Jan, 2017",1:00 AM,28.91,0.0,32.46,1,1,2,1,1,0.64455
"2-Jan, 2017",2:00 AM,28.11,0.0,28.93,2,1,2,1,1,0.64055
"2-Jan, 2017",3:00 AM,27.89,0.0,29.4,3,1,2,1,1,0.63945
"2-Jan, 2017",4:00 AM,27.73,0.0,28.88,4,1,2,1,1,0.6386499999999999
"2-Jan, 2017",5:00 AM,31.18,0.0,28.4,5,1,2,1,1,0.6559
"2-Jan, 2017",6:00 AM,37.99,0.0,43.65,6,1,2,1,1,0.6899500000000001
"2-Jan, 2017",7:00 AM,50.98,0.0,52.64,7,1,2,1,1,0.7548999999999999
"2-Jan, 2017",8:00 AM,53.88,0.01,55.7,8,1,2,1,1,0.7694000000000001
"2-Jan, 2017",9:00 AM,53.94,0.07,41.78,9,1,2,1,1,0.7697
"2-Jan, 2017",10:00 AM,53.54,0.13,55.7,10,1,2,1,1,0.7677
"2-Jan, 2017",11:00 AM,54.91,0.14,50.63,11,1,2,1,1,0.77455
"2-Jan, 2017",12:00 PM,54.08,0.12,61.95,12,1,2,1,1,0.7704
"2-Jan, 2017",1:00 PM,55.67,0.07,48.23,13,1,2,1,1,0.77835
"2-Jan, 2017",2:00 PM,55.98,0.02,56.25,14,1,2,1,1,0.7799
"2-Jan, 2017",3:00 PM,56.0,0.01,55.16,15,1,2,1,1,0.78
"2-Jan, 2017",4:00 PM,57.77,0.0,56.49,16,1,2,1,1,0.78885
"2-Jan, 2017",5:00 PM,67.66,0.0,73.71,17,1,2,1,1,0.8383
"2-Jan, 2017",6:00 PM,55.1,0.0,58.22,18,1,2,1,1,0.7755000000000001
"2-Jan, 2017",7:00 PM,53.92,0.0,51.69,19,1,2,1,1,0.7696000000000001
