Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week
"1-Jan, 2018",12:00 AM,-5.27,0,-6.80,0,1,1,1,1
"1-Jan, 2018",1:00 AM,-29.99,0,-29.96,1,1,1,1,1
"1-Jan, 2018",2:00 AM,-56.65,0,-67.82,2,1,1,1,1
"1-Jan, 2018",3:00 AM,-63.14,0,-64.83,3,1,1,1,1
"1-Jan, 2018",4:00 AM,-64.62,0,-62.22,4,1,1,1,1
"1-Jan, 2018",5:00 AM,-67,0,-77.34,5,1,1,1,1
"1-Jan, 2018",6:00 AM,-72.54,0,-64.22,6,1,1,1,1
"1-Jan, 2018",7:00 AM,-76.01,0,-90.22,7,1,1,1,1
"1-Jan, 2018",8:00 AM,-71.45,0,-66.17,8,1,1,1,1
"1-Jan, 2018",9:00 AM,-66.88,0.04,-64.03,9,1,1,1,1
"1-Jan, 2018",10:00 AM,-62,0.1,-69.39,10,1,1,1,1
"1-Jan, 2018",11:00 AM,-56.08,0.14,-61.86,11,1,1,1,1
"1-Jan, 2018",12:00 PM,-49.96,0.18,-58.30,12,1,1,1,1
"1-Jan, 2018",1:00 PM,-24.29,0.27,-27.09,13,1,1,1,1
"1-Jan, 2018",2:00 PM,-5.59,0.24,4.37,14,1,1,1,1
"1-Jan, 2018",3:00 PM,0.23,0.09,-6.83,15,1,1,1,1
"1-Jan, 2018",4:00 PM,11.02,0,12.13,16,1,1,1,1
"1-Jan, 2018",5:00 PM,23.5,0,24.43,17,1,1,1,1
"1-Jan, 2018",6:00 PM,22.91,0,30.49,18,1,1,1,1
"1-Jan, 2018",7:00 PM,21.02,0,18.49,19,1,1,1,1
"1-Jan, 2018",8:00 PM,21.05,0,24.65,20,1,1,1,1
"1-Jan, 2018",9:00 PM,21.95,0,10.73,21,1,1,1,1
"1-Jan, 2018",10:00 PM,23.52,0,24.13,22,1,1,1,1
"1-Jan, 2018",11:00 PM,18.96,0,20.88,23,1,1,1,1
"2-Jan, 2018",12:00 AM,18.12,0,26.63,0,1,2,2,1
"2-Jan, 2018",1:00 AM,14.99,0,21.45,1,1,2,2,1
"2-Jan, 2018",2:00 AM,13.63,0,14.74,2,1,2,2,1
"2-Jan, 2018",3:00 AM,12.15,0,20.44,3,1,2,2,1
"2-Jan, 2018",4:00 AM,11.83,0,12.96,4,1,2,2,1
"2-Jan, 2018",5:00 AM,14.55,0,19.54,5,1,2,2,1
"2-Jan, 2018",6:00 AM,22.58,0,27.43,6,1,2,2,1
"2-Jan, 2018",7:00 AM,41.92,0,49.49,7,1,2,2,1
"2-Jan, 2018",8:00 AM,47.95,0,40.74,8,1,2,2,1
"2-Jan, 2018",9:00 AM,49.9,0.03,45.30,9,1,2,2,1
"2-Jan, 2018",10:00 AM,50,0.05,46.34,10,1,2,2,1
"2-Jan, 2018",11:00 AM,49.7,0.06,50.20,11,1,2,2,1
"2-Jan, 2018",12:00 PM,48.16,0.07,43.81,12,1,2,2,1
"2-Jan, 2018",1:00 PM,47.24,0.07,42.38,13,1,2,2,1
"2-Jan, 2018",2:00 PM,46.1,0.04,50.90,14,1,2,2,1
"2-Jan, 2018",3:00 PM,43.86,0.03,49.19,15,1,2,2,1
"2-Jan, 2018",4:00 PM,43.64,0,44.13,16,1,2,2,1
"2-Jan, 2018",5:00 PM,47.37,0,30.67,17,1,2,2,1
"2-Jan, 2018",6:00 PM,46.08,0,42.69,18,1,2,2,1
"2-Jan, 2018",7:00 PM,41.08,0,34.33,19,1,2,2,1
"2-Jan, 2018",8:00 PM,34.94,0,32.07,20,1,2,2,1
"2-Jan, 2018",9:00 PM,25.46,0,35.48,21,1,2,2,1
"2-Jan, 2018",10:00 PM,21.3,0,16.18,22,1,2,2,1
"2-Jan, 2018",11:00 PM,9.94,0,6.34,23,1,2,2,1
"3-Jan, 2018",12:00 AM,7.93,0,-3.84,0,1,3,3,1
"3-Jan, 2018",1:00 AM,0.03,0,4.75,1,1,3,3,1
"3-Jan, 2018",2:00 AM,0.02,0,-1.86,2,1,3,3,1
"3-Jan, 2018",3:00 AM,-5.99,0,-0.79,3,1,3,3,1
"3-Jan, 2018",4:00 AM,-9.21,0,-13.77,4,1,3,3,1
"3-Jan, 2018",5:00 AM,-4.64,0,-6.62,5,1,3,3,1
"3-Jan, 2018",6:00 AM,8.02,0,3.46,6,1,3,3,1
"3-Jan, 2018",7:00 AM,11.03,0,3.95,7,1,3,3,1
"3-Jan, 2018",8:00 AM,13.28,0,15.81,8,1,3,3,1
"3-Jan, 2018",9:00 AM,13.18,0.02,25.49,9,1,3,3,1
"3-Jan, 2018",10:00 AM,13.71,0.04,12.90,10,1,3,3,1
"3-Jan, 2018",11:00 AM,15.42,0.03,18.10,11,1,3,3,1
"3-Jan, 2018",12:00 PM,15.84,0.06,6.55,12,1,3,3,1
"3-Jan, 2018",1:00 PM,16,0.11,17.23,13,1,3,3,1
"3-Jan, 2018",2:00 PM,15.75,0.1,16.95,14,1,3,3,1
"3-Jan, 2018",3:00 PM,15.14,0.01,11.37,15,1,3,3,1
"3-Jan, 2018",4:00 PM,16,0,13.33,16,1,3,3,1
"3-Jan, 2018",5:00 PM,15.11,0,12.82,17,1,3,3,1
"3-Jan, 2018",6:00 PM,13.37,0,12.70,18,1,3,3,1
"3-Jan, 2018",7:00 PM,11.06,0,10.72,19,1,3,3,1
"3-Jan, 2018",8:00 PM,10.06,0,3.32,20,1,3,3,1
"3-Jan, 2018",9:00 PM,9.3,0,5.87,21,1,3,3,1
"3-Jan, 2018",10:00 PM,9.87,0,8.64,22,1,3,3,1
"3-Jan, 2018",11:00 PM,4.97,0,3.73,23,1,3,3,1
"4-Jan, 2018",12:00 AM,-0.36,0,-3.13,0,1,4,4,1
"4-Jan, 2018",1:00 AM,-5.57,0,-3.19,1,1,4,4,1
"4-Jan, 2018",2:00 AM,-7.85,0,-12.94,2,1,4,4,1
"4-Jan, 2018",3:00 AM,-5.29,0,0.42,3,1,4,4,1
"4-Jan, 2018",4:00 AM,-1.75,0,3.68,4,1,4,4,1
"4-Jan, 2018",5:00 AM,6.01,0,6.57,5,1,4,4,1
"4-Jan, 2018",6:00 AM,19.96,0,26.01,6,1,4,4,1
"4-Jan, 2018",7:00 AM,33.59,0,28.37,7,1,4,4,1
"4-Jan, 2018",8:00 AM,40.45,0,44.76,8,1,4,4,1
"4-Jan, 2018",9:00 AM,41.97,0,47.58,9,1,4,4,1
"4-Jan, 2018",10:00 AM,44.91,0.01,46.50,10,1,4,4,1
"4-Jan, 2018",11:00 AM,48.22,0.02,37.02,11,1,4,4,1
"4-Jan, 2018",12:00 PM,46.04,0.03,47.75,12,1,4,4,1
"4-Jan, 2018",1:00 PM,42,0.03,44.24,13,1,4,4,1
"4-Jan, 2018",2:00 PM,41.08,0.01,46.25,14,1,4,4,1
"4-Jan, 2018",3:00 PM,42.04,0,50.48,15,1,4,4,1
"4-Jan, 2018",4:00 PM,42.53,0,44.68,16,1,4,4,1
"4-Jan, 2018",5:00 PM,51.43,0,51.36,17,1,4,4,1
"4-Jan, 2018",6:00 PM,49.96,0,51.88,18,1,4,4,1
"4-Jan, 2018",7:00 PM,46.73,0,49.59,19,1,4,4,1
"4-Jan, 2018",8:00 PM,41.57,0,42.88,20,1,4,4,1
"4-Jan, 2018",9:00 PM,37.09,0,39.07,21,1,4,4,1
"4-Jan, 2018",10:00 PM,33.92,0,39.56,22,1,4,4,1
"4-Jan, 2018",11:00 PM,28.05,0,29.07,23,1,4,4,1
"5-Jan, 2018",12:00 AM,5.96,0,9.19,0,1,5,5,1
"5-Jan, 2018",1:00 AM,-0.94,0,8.70,1,1,5,5,1
"5-Jan, 2018",2:00 AM,-0.03,0,-3.14,2,1,5,5,1
"5-Jan, 2018",3:00 AM,0.55,0,-5.92,3,1,5,5,1
"5-Jan, 2018",4:00 AM,-11.81,0,-10.00,4,1,5,5,1
"5-Jan, 2018",5:00 AM,8.92,0,6.73,5,1,5,5,1
"5-Jan, 2018",6:00 AM,21.68,0,21.45,6,1,5,5,1
"5-Jan, 2018",7:00 AM,30.44,0,42.76,7,1,5,5,1
"5-Jan, 2018",8:00 AM,36.2,0.01,35.80,8,1,5,5,1
"5-Jan, 2018",9:00 AM,36.3,0.05,35.95,9,1,5,5,1
"5-Jan, 2018",10:00 AM,38.95,0.08,39.48,10,1,5,5,1
"5-Jan, 2018",11:00 AM,39.4,0.12,34.53,11,1,5,5,1
"5-Jan, 2018",12:00 PM,41.69,0.13,37.83,12,1,5,5,1
"5-Jan, 2018",1:00 PM,43.69,0.1,47.93,13,1,5,5,1
"5-Jan, 2018",2:00 PM,44.08,0.04,46.95,14,1,5,5,1
"5-Jan, 2018",3:00 PM,47.1,0.01,45.27,15,1,5,5,1
"5-Jan, 2018",4:00 PM,47.77,0,47.23,16,1,5,5,1
"5-Jan, 2018",5:00 PM,56.35,0,64.17,17,1,5,5,1
"5-Jan, 2018",6:00 PM,57.42,0,50.30,18,1,5,5,1
"5-Jan, 2018",7:00 PM,53.99,0,54.49,19,1,5,5,1
"5-Jan, 2018",8:00 PM,42.36,0,46.74,20,1,5,5,1
"5-Jan, 2018",9:00 PM,39.9,0,38.16,21,1,5,5,1
"5-Jan, 2018",10:00 PM,39.97,0,41.37,22,1,5,5,1
"5-Jan, 2018",11:00 PM,36.27,0,36.13,23,1,5,5,1
"6-Jan, 2018",12:00 AM,29.45,0,24.48,0,1,6,6,1
"6-Jan, 2018",1:00 AM,28.55,0,37.89,1,1,6,6,1
"6-Jan, 2018",2:00 AM,28.18,0,29.14,2,1,6,6,1
"6-Jan, 2018",3:00 AM,27.33,0,32.58,3,1,6,6,1
"6-Jan, 2018",4:00 AM,27.08,0,28.82,4,1,6,6,1
"6-Jan, 2018",5:00 AM,28.7,0,39.72,5,1,6,6,1
"6-Jan, 2018",6:00 AM,30,0,29.54,6,1,6,6,1
"6-Jan, 2018",7:00 AM,31.36,0,28.75,7,1,6,6,1
"6-Jan, 2018",8:00 AM,34.19,0.01,30.89,8,1,6,6,1
"6-Jan, 2018",9:00 AM,41.11,0.05,46.32,9,1,6,6,1
"6-Jan, 2018",10:00 AM,44,0.13,40.55,10,1,6,6,1
"6-Jan, 2018",11:00 AM,43.74,0.23,43.43,11,1,6,6,1
"6-Jan, 2018",12:00 PM,44.01,0.28,41.30,12,1,6,6,1
"6-Jan, 2018",1:00 PM,42.9,0.22,32.05,13,1,6,6,1
"6-Jan, 2018",2:00 PM,38.7,0.14,34.58,14,1,6,6,1
"6-Jan, 2018",3:00 PM,37.4,0.05,38.30,15,1,6,6,1
"6-Jan, 2018",4:00 PM,40.52,0,34.32,16,1,6,6,1
"6-Jan, 2018",5:00 PM,45.46,0,44.35,17,1,6,6,1
"6-Jan, 2018",6:00 PM,49.98,0,57.69,18,1,6,6,1
"6-Jan, 2018",7:00 PM,45.9,0,46.89,19,1,6,6,1
"6-Jan, 2018",8:00 PM,40.9,0,35.58,20,1,6,6,1
"6-Jan, 2018",9:00 PM,33.69,0,23.98,21,1,6,6,1
"6-Jan, 2018",10:00 PM,36.26,0,32.70,22,1,6,6,1
"6-Jan, 2018",11:00 PM,29.03,0,28.40,23,1,6,6,1
"7-Jan, 2018",12:00 AM,21.87,0,27.95,0,1,7,0,1
"7-Jan, 2018",1:00 AM,15.98,0,2.15,1,1,7,0,1
"7-Jan, 2018",2:00 AM,15.99,0,14.46,2,1,7,0,1
"7-Jan, 2018",3:00 AM,14,0,9.98,3,1,7,0,1
"7-Jan, 2018",4:00 AM,12.51,0,7.24,4,1,7,0,1
"7-Jan, 2018",5:00 AM,13.21,0,15.42,5,1,7,0,1
"7-Jan, 2018",6:00 AM,12.17,0,16.21,6,1,7,0,1
"7-Jan, 2018",7:00 AM,13.02,0,16.18,7,1,7,0,1
"7-Jan, 2018",8:00 AM,20.52,0,14.67,8,1,7,0,1
"7-Jan, 2018",9:00 AM,23.22,0.03,17.77,9,1,7,0,1
"7-Jan, 2018",10:00 AM,24.81,0.07,23.18,10,1,7,0,1
"7-Jan, 2018",11:00 AM,28.95,0.11,34.32,11,1,7,0,1
"7-Jan, 2018",12:00 PM,28.96,0.15,30.78,12,1,7,0,1
"7-Jan, 2018",1:00 PM,27.08,0.13,19.91,13,1,7,0,1
"7-Jan, 2018",2:00 PM,23.46,0.08,25.24,14,1,7,0,1
"7-Jan, 2018",3:00 PM,23.7,0.02,20.67,15,1,7,0,1
"7-Jan, 2018",4:00 PM,27.21,0,33.49,16,1,7,0,1
"7-Jan, 2018",5:00 PM,30.88,0,32.55,17,1,7,0,1
"7-Jan, 2018",6:00 PM,34.34,0,22.10,18,1,7,0,1
"7-Jan, 2018",7:00 PM,32.33,0,29.64,19,1,7,0,1
"7-Jan, 2018",8:00 PM,31.44,0,34.67,20,1,7,0,1
"7-Jan, 2018",9:00 PM,28.94,0,25.98,21,1,7,0,1
"7-Jan, 2018",10:00 PM,29.69,0,24.30,22,1,7,0,1
"7-Jan, 2018",11:00 PM,27.01,0,28.47,23,1,7,0,1
"8-Jan, 2018",12:00 AM,18.91,0,24.39,0,1,8,1,2
"8-Jan, 2018",1:00 AM,15.15,0,18.29,1,1,8,1,2
"8-Jan, 2018",2:00 AM,15.11,0,14.96,2,1,8,1,2
"8-Jan, 2018",3:00 AM,13.42,0,9.40,3,1,8,1,2
"8-Jan, 2018",4:00 AM,12.91,0,20.88,4,1,8,1,2
"8-Jan, 2018",5:00 AM,17.1,0,24.14,5,1,8,1,2
"8-Jan, 2018",6:00 AM,30.03,0,34.66,6,1,8,1,2
"8-Jan, 2018",7:00 AM,42.93,0,46.77,7,1,8,1,2
"8-Jan, 2018",8:00 AM,44.95,0,40.50,8,1,8,1,2
"8-Jan, 2018",9:00 AM,42.57,0.03,34.02,9,1,8,1,2
"8-Jan, 2018",10:00 AM,41.98,0.05,41.03,10,1,8,1,2
"8-Jan, 2018",11:00 AM,41.54,0.08,41.09,11,1,8,1,2
