Date,Time of day,act_price,fore_gen,fore_price,hour,month,day,weekday,week,norm_ap,norm_fg,norm_fp
"1-Jan, 2018",12:00 AM,-5.27,0.45,-6.79911141997362,0,1,1,1,1,0.3463063592304304,0.46391752577319595,0.37571456476204146
"1-Jan, 2018",1:00 AM,-29.99,0.47,-29.95545923622811,1,1,1,1,1,0.22529005727713328,0.4845360824742268,0.2714247564782788
"1-Jan, 2018",2:00 AM,-56.65,0.43,-67.82108379024811,2,1,1,1,1,0.09477652127086705,0.443298969072165,0.1008884198927788
"1-Jan, 2018",3:00 AM,-63.14,0.43,-64.82742804623922,3,1,1,1,1,0.06300484652665594,0.443298969072165,0.11437102026169882
"1-Jan, 2018",4:00 AM,-64.62,0.59,-62.22056164874663,4,1,1,1,1,0.05575953395016403,0.6082474226804124,0.12611162801958742
"1-Jan, 2018",5:00 AM,-67.0,0.52,-77.3400373092728,5,1,1,1,1,0.044108288050129785,0.5360824742268042,0.05801767682748893
"1-Jan, 2018",6:00 AM,-72.54,0.49,-64.22498283493104,6,1,1,1,1,0.016987320702991138,0.5051546391752578,0.11708426744935324
"1-Jan, 2018",7:00 AM,-76.01,0.46,-90.22219258616148,7,1,1,1,1,0.0,0.47422680412371143,0.0
"1-Jan, 2018",8:00 AM,-71.45,0.45,-66.17371158205944,8,1,1,1,1,0.02232339550594803,0.46391752577319595,0.1083077302748503
"1-Jan, 2018",9:00 AM,-66.88,0.4,-64.0253044103672,9,1,1,1,1,0.04469574582660213,0.41237113402061865,0.11798356403884175
"1-Jan, 2018",10:00 AM,-62.0,0.38,-69.38835554357935,10,1,1,1,1,0.06858569540314297,0.3917525773195877,0.09382985988234666
"1-Jan, 2018",11:00 AM,-56.08,0.43,-61.858816133774134,11,1,1,1,1,0.09756694570911056,0.443298969072165,0.12774083011584852
"1-Jan, 2018",12:00 PM,-49.96,0.47,-58.299275060067814,12,1,1,1,1,0.12752729230919865,0.4845360824742268,0.14377202204216916
"1-Jan, 2018",1:00 PM,-24.29,0.44,-27.094583261367422,13,1,1,1,1,0.2531943016595683,0.45360824742268047,0.2843093533633027
"1-Jan, 2018",2:00 PM,-5.59,0.36,4.365633042462205,14,1,1,1,1,0.34473980515983754,0.3711340206185567,0.4259974966286681
"1-Jan, 2018",3:00 PM,0.23,0.29,-6.83359255215026,15,1,1,1,1,0.3732315073187449,0.29896907216494845,0.3755592712463004
"1-Jan, 2018",4:00 PM,11.02,0.28,12.130230413136474,16,1,1,1,1,0.4260537523865473,0.2886597938144331,0.4609671031319792
"1-Jan, 2018",5:00 PM,23.5,0.29,24.43221729716555,17,1,1,1,1,0.48714936113966817,0.29896907216494845,0.5163718614222386
"1-Jan, 2018",6:00 PM,22.91,0.3,30.48705894056083,18,1,1,1,1,0.48426102707201263,0.30927835051546393,0.5436411993674471
"1-Jan, 2018",7:00 PM,21.02,0.38,18.48682023973781,19,1,1,1,1,0.47500856709257366,0.3917525773195877,0.489595431727451
"1-Jan, 2018",8:00 PM,21.05,0.41,24.645502583479182,20,1,1,1,1,0.4751554315366917,0.422680412371134,0.5173324395667671
"1-Jan, 2018",9:00 PM,21.95,0.39,10.726360109828533,21,1,1,1,1,0.4795613648602341,0.40206185567010316,0.454644458216252
