# Renewables.ninja Solar PV (Point API) - 49.020, 12.097 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "49.0195333", "lon": "12.0974869", "date_from": "2016-01-01", "date_to": "2016-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2016-01-01 00:00,2016-01-01 01:00,0
2016-01-01 01:00,2016-01-01 02:00,0
2016-01-01 02:00,2016-01-01 03:00,0
2016-01-01 03:00,2016-01-01 04:00,0
2016-01-01 04:00,2016-01-01 05:00,0
2016-01-01 05:00,2016-01-01 06:00,0
2016-01-01 06:00,2016-01-01 07:00,0
2016-01-01 07:00,2016-01-01 08:00,2.652
2016-01-01 08:00,2016-01-01 09:00,30.211
2016-01-01 09:00,2016-01-01 10:00,67.704
2016-01-01 10:00,2016-01-01 11:00,96.184
2016-01-01 11:00,2016-01-01 12:00,113.338
2016-01-01 12:00,2016-01-01 13:00,146.832
2016-01-01 13:00,2016-01-01 14:00,117.929
2016-01-01 14:00,2016-01-01 15:00,43.944
2016-01-01 15:00,2016-01-01 16:00,0
2016-01-01 16:00,2016-01-01 17:00,0
2016-01-01 17:00,2016-01-01 18:00,0
2016-01-01 18:00,2016-01-01 19:00,0
2016-01-01 19:00,2016-01-01 20:00,0
2016-01-01 20:00,2016-01-01 21:00,0
2016-01-01 21:00,2016-01-01 22:00,0
2016-01-01 22:00,2016-01-01 23:00,0
2016-01-01 23:00,2016-01-02 00:00,0
2016-01-02 00:00,2016-01-02 01:00,0
2016-01-02 01:00,2016-01-02 02:00,0
2016-01-02 02:00,2016-01-02 03:00,0
2016-01-02 03:00,2016-01-02 04:00,0
2016-01-02 04:00,2016-01-02 05:00,0
2016-01-02 05:00,2016-01-02 06:00,0
2016-01-02 06:00,2016-01-02 07:00,0
2016-01-02 07:00,2016-01-02 08:00,18.866
2016-01-02 08:00,2016-01-02 09:00,87.727
2016-01-02 09:00,2016-01-02 10:00,129.464
2016-01-02 10:00,2016-01-02 11:00,158.252
2016-01-02 11:00,2016-01-02 12:00,148.527
2016-01-02 12:00,2016-01-02 13:00,106.838
2016-01-02 13:00,2016-01-02 14:00,52.956
2016-01-02 14:00,2016-01-02 15:00,11.151
2016-01-02 15:00,2016-01-02 16:00,0
2016-01-02 16:00,2016-01-02 17:00,0
2016-01-02 17:00,2016-01-02 18:00,0
2016-01-02 18:00,2016-01-02 19:00,0
2016-01-02 19:00,2016-01-02 20:00,0
2016-01-02 20:00,2016-01-02 21:00,0
2016-01-02 21:00,2016-01-02 22:00,0
2016-01-02 22:00,2016-01-02 23:00,0
2016-01-02 23:00,2016-01-03 00:00,0
2016-01-03 00:00,2016-01-03 01:00,0
2016-01-03 01:00,2016-01-03 02:00,0
2016-01-03 02:00,2016-01-03 03:00,0
2016-01-03 03:00,2016-01-03 04:00,0
2016-01-03 04:00,2016-01-03 05:00,0
2016-01-03 05:00,2016-01-03 06:00,0
2016-01-03 06:00,2016-01-03 07:00,0
2016-01-03 07:00,2016-01-03 08:00,4.746
