# Renewables.ninja Solar PV (Point API) - 49.020, 12.097 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "49.0195333", "lon": "12.0974869", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
2018-01-01 00:00,2018-01-01 01:00,0
2018-01-01 01:00,2018-01-01 02:00,0
2018-01-01 02:00,2018-01-01 03:00,0
2018-01-01 03:00,2018-01-01 04:00,0
2018-01-01 04:00,2018-01-01 05:00,0
2018-01-01 05:00,2018-01-01 06:00,0
2018-01-01 06:00,2018-01-01 07:00,0
2018-01-01 07:00,2018-01-01 08:00,4.386
2018-01-01 08:00,2018-01-01 09:00,43.322
2018-01-01 09:00,2018-01-01 10:00,97.141
2018-01-01 10:00,2018-01-01 11:00,137.736
2018-01-01 11:00,2018-01-01 12:00,181.383
2018-01-01 12:00,2018-01-01 13:00,265.931
2018-01-01 13:00,2018-01-01 14:00,244.529
2018-01-01 14:00,2018-01-01 15:00,88.206
2018-01-01 15:00,2018-01-01 16:00,0
2018-01-01 16:00,2018-01-01 17:00,0
2018-01-01 17:00,2018-01-01 18:00,0
2018-01-01 18:00,2018-01-01 19:00,0
2018-01-01 19:00,2018-01-01 20:00,0
2018-01-01 20:00,2018-01-01 21:00,0
2018-01-01 21:00,2018-01-01 22:00,0
2018-01-01 22:00,2018-01-01 23:00,0
2018-01-01 23:00,2018-01-02 00:00,0
2018-01-02 00:00,2018-01-02 01:00,0
2018-01-02 01:00,2018-01-02 02:00,0
2018-01-02 02:00,2018-01-02 03:00,0
2018-01-02 03:00,2018-01-02 04:00,0
2018-01-02 04:00,2018-01-02 05:00,0
2018-01-02 05:00,2018-01-02 06:00,0
2018-01-02 06:00,2018-01-02 07:00,0
2018-01-02 07:00,2018-01-02 08:00,3.371
2018-01-02 08:00,2018-01-02 09:00,27.195
2018-01-02 09:00,2018-01-02 10:00,50.318
2018-01-02 10:00,2018-01-02 11:00,62.404
2018-01-02 11:00,2018-01-02 12:00,67.775
2018-01-02 12:00,2018-01-02 13:00,74.079
2018-01-02 13:00,2018-01-02 14:00,44.919
2018-01-02 14:00,2018-01-02 15:00,30.793
2018-01-02 15:00,2018-01-02 16:00,0
2018-01-02 16:00,2018-01-02 17:00,0
2018-01-02 17:00,2018-01-02 18:00,0
2018-01-02 18:00,2018-01-02 19:00,0
2018-01-02 19:00,2018-01-02 20:00,0
2018-01-02 20:00,2018-01-02 21:00,0
2018-01-02 21:00,2018-01-02 22:00,0
2018-01-02 22:00,2018-01-02 23:00,0
2018-01-02 23:00,2018-01-03 00:00,0
2018-01-03 00:00,2018-01-03 01:00,0
2018-01-03 01:00,2018-01-03 02:00,0
2018-01-03 02:00,2018-01-03 03:00,0
2018-01-03 03:00,2018-01-03 04:00,0
2018-01-03 04:00,2018-01-03 05:00,0
2018-01-03 05:00,2018-01-03 06:00,0
2018-01-03 06:00,2018-01-03 07:00,0
2018-01-03 07:00,2018-01-03 08:00,0.886
2018-01-03 08:00,2018-01-03 09:00,23.887
2018-01-03 09:00,2018-01-03 10:00,37.552
2018-01-03 10:00,2018-01-03 11:00,25.095
2018-01-03 11:00,2018-01-03 12:00,64.018
2018-01-03 12:00,2018-01-03 13:00,113.901
2018-01-03 13:00,2018-01-03 14:00,98.086
2018-01-03 14:00,2018-01-03 15:00,13.693
2018-01-03 15:00,2018-01-03 16:00,0
2018-01-03 16:00,2018-01-03 17:00,0
2018-01-03 17:00,2018-01-03 18:00,0
2018-01-03 18:00,2018-01-03 19:00,0
2018-01-03 19:00,2018-01-03 20:00,0
2018-01-03 20:00,2018-01-03 21:00,0
2018-01-03 21:00,2018-01-03 22:00,0
2018-01-03 22:00,2018-01-03 23:00,0
2018-01-03 23:00,2018-01-04 00:00,0
2018-01-04 00:00,2018-01-04 01:00,0
2018-01-04 01:00,2018-01-04 02:00,0
2018-01-04 02:00,2018-01-04 03:00,0
2018-01-04 03:00,2018-01-04 04:00,0
2018-01-04 04:00,2018-01-04 05:00,0
2018-01-04 05:00,2018-01-04 06:00,0
2018-01-04 06:00,2018-01-04 07:00,0
2018-01-04 07:00,2018-01-04 08:00,0.045
2018-01-04 08:00,2018-01-04 09:00,4.953
2018-01-04 09:00,2018-01-04 10:00,12.345
2018-01-04 10:00,2018-01-04 11:00,19.633
2018-01-04 11:00,2018-01-04 12:00,25.477
2018-01-04 12:00,2018-01-04 13:00,27.671
2018-01-04 13:00,2018-01-04 14:00,13.678
2018-01-04 14:00,2018-01-04 15:00,2.862
2018-01-04 15:00,2018-01-04 16:00,0
2018-01-04 16:00,2018-01-04 17:00,0
2018-01-04 17:00,2018-01-04 18:00,0
2018-01-04 18:00,2018-01-04 19:00,0
2018-01-04 19:00,2018-01-04 20:00,0
2018-01-04 20:00,2018-01-04 21:00,0
2018-01-04 21:00,2018-01-04 22:00,0
