Date;"Start Time";"End Time";"Forecast in MW";"Actual in MW"
2018-01-01;00:00:00;00:15:00;0;0
2018-01-01;00:15:00;00:30:00;0;0
2018-01-01;00:30:00;00:45:00;0;0
2018-01-01;00:45:00;01:00:00;0;0
2018-01-01;01:00:00;01:15:00;0;0
2018-01-01;01:15:00;01:30:00;0;0
2018-01-01;01:30:00;01:45:00;0;0
2018-01-01;01:45:00;02:00:00;0;0
2018-01-01;02:00:00;02:15:00;0;0
2018-01-01;02:15:00;02:30:00;0;0
2018-01-01;02:30:00;02:45:00;0;0
2018-01-01;02:45:00;03:00:00;0;0
2018-01-01;03:00:00;03:15:00;0;0
2018-01-01;03:15:00;03:30:00;0;0
2018-01-01;03:30:00;03:45:00;0;0
2018-01-01;03:45:00;04:00:00;0;0
2018-01-01;04:00:00;04:15:00;0;0
2018-01-01;04:15:00;04:30:00;0;0
2018-01-01;04:30:00;04:45:00;0;0
2018-01-01;04:45:00;05:00:00;0;0
2018-01-01;05:00:00;05:15:00;0;0
2018-01-01;05:15:00;05:30:00;0;0
2018-01-01;05:30:00;05:45:00;0;0
2018-01-01;05:45:00;06:00:00;0;0
2018-01-01;06:00:00;06:15:00;0;0
2018-01-01;06:15:00;06:30:00;0;0
2018-01-01;06:30:00;06:45:00;0;0
2018-01-01;06:45:00;07:00:00;0;0
2018-01-01;07:00:00;07:15:00;0;0
2018-01-01;07:15:00;07:30:00;0;0
2018-01-01;07:30:00;07:45:00;0;0
2018-01-01;07:45:00;08:00:00;0;0
2018-01-01;08:00:00;08:15:00;1,5;0
2018-01-01;08:15:00;08:30:00;11,9;2,4
2018-01-01;08:30:00;08:45:00;41,8;26,2
2018-01-01;08:45:00;09:00:00;94,6;70
2018-01-01;09:00:00;09:15:00;161,4;130
2018-01-01;09:15:00;09:30:00;239,9;199,8
2018-01-01;09:30:00;09:45:00;318,7;282,8
2018-01-01;09:45:00;10:00:00;399;377
2018-01-01;10:00:00;10:15:00;484,6;491,1
2018-01-01;10:15:00;10:30:00;570,4;652,3
2018-01-01;10:30:00;10:45:00;651,3;782,9
2018-01-01;10:45:00;11:00:00;729,1;908,1
2018-01-01;11:00:00;11:15:00;803,9;1002
2018-01-01;11:15:00;11:30:00;874,6;1068,3
2018-01-01;11:30:00;11:45:00;944;1106,1
2018-01-01;11:45:00;12:00:00;1009,9;1131,2
2018-01-01;12:00:00;12:15:00;1073,7;1189,8
2018-01-01;12:15:00;12:30:00;1125,2;1177,9
2018-01-01;12:30:00;12:45:00;1168,7;1211,5
2018-01-01;12:45:00;13:00:00;1208,1;1292,8
2018-01-01;13:00:00;13:15:00;1229,3;1313,2
2018-01-01;13:15:00;13:30:00;1231,4;1312,3
2018-01-01;13:30:00;13:45:00;1222,1;1234,4
2018-01-01;13:45:00;14:00:00;1205;1191
2018-01-01;14:00:00;14:15:00;1157;1098,8
2018-01-01;14:15:00;14:30:00;1070,7;1031,2
2018-01-01;14:30:00;14:45:00;953,4;951,1
2018-01-01;14:45:00;15:00:00;814,7;847,7
2018-01-01;15:00:00;15:15:00;661;724,8
2018-01-01;15:15:00;15:30:00;494,3;600,8
2018-01-01;15:30:00;15:45:00;313;415,7
2018-01-01;15:45:00;16:00:00;125,3;222,3
2018-01-01;16:00:00;16:15:00;30,4;61
2018-01-01;16:15:00;16:30:00;3,7;6,6
2018-01-01;16:30:00;16:45:00;0;0
2018-01-01;16:45:00;17:00:00;0;0
2018-01-01;17:00:00;17:15:00;0;0
2018-01-01;17:15:00;17:30:00;0;0
2018-01-01;17:30:00;17:45:00;0;0
2018-01-01;17:45:00;18:00:00;0;0
2018-01-01;18:00:00;18:15:00;0;0
2018-01-01;18:15:00;18:30:00;0;0
2018-01-01;18:30:00;18:45:00;0;0
2018-01-01;18:45:00;19:00:00;0;0
2018-01-01;19:00:00;19:15:00;0;0
2018-01-01;19:15:00;19:30:00;0;0
2018-01-01;19:30:00;19:45:00;0;0
2018-01-01;19:45:00;20:00:00;0;0
2018-01-01;20:00:00;20:15:00;0;0
2018-01-01;20:15:00;20:30:00;0;0
2018-01-01;20:30:00;20:45:00;0;0
2018-01-01;20:45:00;21:00:00;0;0
