local_time,electricity[kW]
1/1/2019 0:00,0
1/1/2019 1:00,0
1/1/2019 2:00,0
1/1/2019 3:00,0
1/1/2019 4:00,0
1/1/2019 5:00,0
1/1/2019 6:00,0
1/1/2019 7:00,0
1/1/2019 8:00,0.746
1/1/2019 9:00,19.057
1/1/2019 10:00,46.6
1/1/2019 11:00,60.942
1/1/2019 12:00,62.925
1/1/2019 13:00,68.806
1/1/2019 14:00,40.535
1/1/2019 15:00,4.484
1/1/2019 16:00,0
1/1/2019 17:00,0
1/1/2019 18:00,0
1/1/2019 19:00,0
1/1/2019 20:00,0
1/1/2019 21:00,0
1/1/2019 22:00,0
1/1/2019 23:00,0
1/2/2019 0:00,0
1/2/2019 1:00,0
1/2/2019 2:00,0
1/2/2019 3:00,0
1/2/2019 4:00,0
1/2/2019 5:00,0
1/2/2019 6:00,0
1/2/2019 7:00,0
1/2/2019 8:00,4.41
1/2/2019 9:00,61.004
1/2/2019 10:00,124.576
1/2/2019 11:00,246.808
1/2/2019 12:00,230.171
1/2/2019 13:00,121.768
1/2/2019 14:00,92.088
1/2/2019 15:00,35.471
1/2/2019 16:00,0
1/2/2019 17:00,0
1/2/2019 18:00,0
1/2/2019 19:00,0
1/2/2019 20:00,0
1/2/2019 21:00,0
1/2/2019 22:00,0
1/2/2019 23:00,0
1/3/2019 0:00,0
1/3/2019 1:00,0
1/3/2019 2:00,0
1/3/2019 3:00,0
1/3/2019 4:00,0
1/3/2019 5:00,0
1/3/2019 6:00,0
1/3/2019 7:00,0
1/3/2019 8:00,73.214
1/3/2019 9:00,275.553
1/3/2019 10:00,460.063
1/3/2019 11:00,546.441
1/3/2019 12:00,527.973
1/3/2019 13:00,481.872
1/3/2019 14:00,311.965
1/3/2019 15:00,73.288
1/3/2019 16:00,0
1/3/2019 17:00,0
1/3/2019 18:00,0
1/3/2019 19:00,0
1/3/2019 20:00,0
1/3/2019 21:00,0
1/3/2019 22:00,0
1/3/2019 23:00,0
1/4/2019 0:00,0
1/4/2019 1:00,0
1/4/2019 2:00,0
1/4/2019 3:00,0
1/4/2019 4:00,0
1/4/2019 5:00,0
1/4/2019 6:00,0
1/4/2019 7:00,0
1/4/2019 8:00,2.381
1/4/2019 9:00,22.327
1/4/2019 10:00,37.327
1/4/2019 11:00,51.668
1/4/2019 12:00,51.624
1/4/2019 13:00,47.107
1/4/2019 14:00,28.84
1/4/2019 15:00,7.985
1/4/2019 16:00,0
1/4/2019 17:00,0
1/4/2019 18:00,0
1/4/2019 19:00,0
1/4/2019 20:00,0
1/4/2019 21:00,0
1/4/2019 22:00,0
1/4/2019 23:00,0
1/5/2019 0:00,0
1/5/2019 1:00,0
1/5/2019 2:00,0
1/5/2019 3:00,0
1/5/2019 4:00,0
1/5/2019 5:00,0
1/5/2019 6:00,0
1/5/2019 7:00,0
1/5/2019 8:00,0
1/5/2019 9:00,7.364
1/5/2019 10:00,21.758
1/5/2019 11:00,56.41
1/5/2019 12:00,59.532
1/5/2019 13:00,41.173
1/5/2019 14:00,22.608
1/5/2019 15:00,5.908
1/5/2019 16:00,0
1/5/2019 17:00,0
1/5/2019 18:00,0
1/5/2019 19:00,0
1/5/2019 20:00,0
1/5/2019 21:00,0
1/5/2019 22:00,0
1/5/2019 23:00,0
1/6/2019 0:00,0
1/6/2019 1:00,0
1/6/2019 2:00,0
1/6/2019 3:00,0
1/6/2019 4:00,0
1/6/2019 5:00,0
1/6/2019 6:00,0
1/6/2019 7:00,0
1/6/2019 8:00,13.297
1/6/2019 9:00,87.659
1/6/2019 10:00,168.633
1/6/2019 11:00,241.742
1/6/2019 12:00,228.251
1/6/2019 13:00,130.309
1/6/2019 14:00,71.344
1/6/2019 15:00,16.097
1/6/2019 16:00,0
1/6/2019 17:00,0
1/6/2019 18:00,0
1/6/2019 19:00,0
1/6/2019 20:00,0
1/6/2019 21:00,0
1/6/2019 22:00,0
1/6/2019 23:00,0
1/7/2019 0:00,0
1/7/2019 1:00,0
1/7/2019 2:00,0
1/7/2019 3:00,0
1/7/2019 4:00,0
1/7/2019 5:00,0
1/7/2019 6:00,0
1/7/2019 7:00,0
1/7/2019 8:00,3.366
1/7/2019 9:00,35.949
1/7/2019 10:00,74.407
1/7/2019 11:00,109.671
1/7/2019 12:00,129.097
1/7/2019 13:00,146.806
1/7/2019 14:00,106.909
1/7/2019 15:00,37.908
1/7/2019 16:00,0
1/7/2019 17:00,0
1/7/2019 18:00,0
1/7/2019 19:00,0
1/7/2019 20:00,0
1/7/2019 21:00,0
1/7/2019 22:00,0
1/7/2019 23:00,0
1/8/2019 0:00,0
1/8/2019 1:00,0
1/8/2019 2:00,0
1/8/2019 3:00,0
1/8/2019 4:00,0
1/8/2019 5:00,0
1/8/2019 6:00,0
1/8/2019 7:00,0
