# Renewables.ninja Wind (Point API) - 49.020, 12.097 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "49.0195333", "lon": "12.0974869", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,232.647
2019-01-01 01:00,2019-01-01 02:00,227.402
2019-01-01 02:00,2019-01-01 03:00,223.054
2019-01-01 03:00,2019-01-01 04:00,230.716
2019-01-01 04:00,2019-01-01 05:00,254.745
2019-01-01 05:00,2019-01-01 06:00,287.303
2019-01-01 06:00,2019-01-01 07:00,310.269
2019-01-01 07:00,2019-01-01 08:00,331.559
2019-01-01 08:00,2019-01-01 09:00,380.454
2019-01-01 09:00,2019-01-01 10:00,425.349
2019-01-01 10:00,2019-01-01 11:00,479.709
2019-01-01 11:00,2019-01-01 12:00,549.727
2019-01-01 12:00,2019-01-01 13:00,583.327
2019-01-01 13:00,2019-01-01 14:00,596.460
2019-01-01 14:00,2019-01-01 15:00,638.444
2019-01-01 15:00,2019-01-01 16:00,657.651
2019-01-01 16:00,2019-01-01 17:00,674.988
2019-01-01 17:00,2019-01-01 18:00,704.872
2019-01-01 18:00,2019-01-01 19:00,717.821
2019-01-01 19:00,2019-01-01 20:00,739.665
2019-01-01 20:00,2019-01-01 21:00,772.490
2019-01-01 21:00,2019-01-01 22:00,784.639
2019-01-01 22:00,2019-01-01 23:00,774.982
2019-01-01 23:00,2019-01-02 00:00,765.596
2019-01-02 00:00,2019-01-02 01:00,736.733
2019-01-02 01:00,2019-01-02 02:00,727.486
2019-01-02 02:00,2019-01-02 03:00,730.621
2019-01-02 03:00,2019-01-02 04:00,738.820
2019-01-02 04:00,2019-01-02 05:00,741.569
2019-01-02 05:00,2019-01-02 06:00,731.582
2019-01-02 06:00,2019-01-02 07:00,725.958
2019-01-02 07:00,2019-01-02 08:00,719.992
2019-01-02 08:00,2019-01-02 09:00,700.353
2019-01-02 09:00,2019-01-02 10:00,724.327
2019-01-02 10:00,2019-01-02 11:00,757.238
2019-01-02 11:00,2019-01-02 12:00,747.706
2019-01-02 12:00,2019-01-02 13:00,701.198
2019-01-02 13:00,2019-01-02 14:00,673.752
2019-01-02 14:00,2019-01-02 15:00,632.960
2019-01-02 15:00,2019-01-02 16:00,594.906
2019-01-02 16:00,2019-01-02 17:00,565.792
2019-01-02 17:00,2019-01-02 18:00,525.345
2019-01-02 18:00,2019-01-02 19:00,493.843
2019-01-02 19:00,2019-01-02 20:00,464.185
2019-01-02 20:00,2019-01-02 21:00,430.693
2019-01-02 21:00,2019-01-02 22:00,400.495
2019-01-02 22:00,2019-01-02 23:00,370.708
2019-01-02 23:00,2019-01-03 00:00,337.178
2019-01-03 00:00,2019-01-03 01:00,334.136
2019-01-03 01:00,2019-01-03 02:00,341.804
2019-01-03 02:00,2019-01-03 03:00,347.857
2019-01-03 03:00,2019-01-03 04:00,350.622
2019-01-03 04:00,2019-01-03 05:00,334.161
2019-01-03 05:00,2019-01-03 06:00,308.035
2019-01-03 06:00,2019-01-03 07:00,269.622
2019-01-03 07:00,2019-01-03 08:00,240.716
2019-01-03 08:00,2019-01-03 09:00,225.229
2019-01-03 09:00,2019-01-03 10:00,299.981
2019-01-03 10:00,2019-01-03 11:00,355.021
2019-01-03 11:00,2019-01-03 12:00,404.328
2019-01-03 12:00,2019-01-03 13:00,460.966
2019-01-03 13:00,2019-01-03 14:00,475.004
2019-01-03 14:00,2019-01-03 15:00,422.800
2019-01-03 15:00,2019-01-03 16:00,451.602
2019-01-03 16:00,2019-01-03 17:00,443.353
2019-01-03 17:00,2019-01-03 18:00,424.444
