Date;"Start Time";"End Time";"Forecast [MW]";"Actual [MW]";"Offshore contribution [MW]"
2019-01-01;00:00:00;00:15:00;12660;11466;2154,9
2019-01-01;00:15:00;00:30:00;12858;11752,9;2151,7
2019-01-01;00:30:00;00:45:00;12977;12036,7;2154,4
2019-01-01;00:45:00;01:00:00;13151;11876,9;2004,7
2019-01-01;01:00:00;01:15:00;13341;11907,7;1846,5
2019-01-01;01:15:00;01:30:00;13499;12239,3;1851,1
2019-01-01;01:30:00;01:45:00;13656;12325,1;1854,9
2019-01-01;01:45:00;02:00:00;13821;12127,9;1859,8
2019-01-01;02:00:00;02:15:00;13995;11896,6;1785,3
2019-01-01;02:15:00;02:30:00;14142;12012,1;1771,2
2019-01-01;02:30:00;02:45:00;14285;11970,8;1773
2019-01-01;02:45:00;03:00:00;14446;12178,6;1870,8
2019-01-01;03:00:00;03:15:00;14607;12685,7;2084,5
2019-01-01;03:15:00;03:30:00;14792;12365,1;2080,8
2019-01-01;03:30:00;03:45:00;14974;12579;2082,9
2019-01-01;03:45:00;04:00:00;14838;12683,9;2081,1
2019-01-01;04:00:00;04:15:00;15007;13190,6;2080,9
2019-01-01;04:15:00;04:30:00;15083;13290,7;2085
2019-01-01;04:30:00;04:45:00;15153;13420;2083,7
2019-01-01;04:45:00;05:00:00;15268;13291,2;2088,3
2019-01-01;05:00:00;05:15:00;15364;13587,2;2088,3
2019-01-01;05:15:00;05:30:00;15413;13447,5;2088,5
2019-01-01;05:30:00;05:45:00;15467;13622,1;2089,2
2019-01-01;05:45:00;06:00:00;15492;13356,3;1915,2
2019-01-01;06:00:00;06:15:00;15931;13488,8;1587,6
2019-01-01;06:15:00;06:30:00;15909;13256;1591,5
2019-01-01;06:30:00;06:45:00;15883;13298,6;1592,3
2019-01-01;06:45:00;07:00:00;15855;13316,6;1591,6
2019-01-01;07:00:00;07:15:00;15827;13491,6;1591,7
2019-01-01;07:15:00;07:30:00;15828;13679;1643,8
2019-01-01;07:30:00;07:45:00;15832;13850,3;1686,4
2019-01-01;07:45:00;08:00:00;15843;13795,5;1688,9
2019-01-01;08:00:00;08:15:00;15854;13780,2;1691,3
2019-01-01;08:15:00;08:30:00;15871;13728,5;1690,1
2019-01-01;08:30:00;08:45:00;15888;13600;1685,6
2019-01-01;08:45:00;09:00:00;15908;13447,1;1519,7
2019-01-01;09:00:00;09:15:00;15935;13157,2;1494,4
2019-01-01;09:15:00;09:30:00;15981;12923,5;1413,4
2019-01-01;09:30:00;09:45:00;16027;12579,7;1462,2
2019-01-01;09:45:00;10:00:00;16084;12858,3;1485,8
2019-01-01;10:00:00;10:15:00;16144;13208,9;1538,7
